No,Teks,Kategori
46,"Manalah kutahu datang hari ini, Hari di mana ku melihat dia Yang tak aku bidik yang tak aku cari, duga benih patah hati lagi",Naratif
47,"Ingin bawanya ke tempat-tempat indah, Tipikal klise ingin tahu pikirnya, Entah ini ingin, entah ini sayang, Si hati rapuh tantang wahana",Naratif
48,"Aku coba ingat lagi warna bajumu kala itu, Kali pertama di hidupku manusia lain memelukku, Pesta hari ulang tahunku",Naratif
49,"Di mana pun kalian berada ku kirimkan terima kasih, Untuk warna dalam hidupku dan banyak kenangan indah",Naratif
50,"Kembali teringat malam, kuhitung-hitung bintang, Saat mataku sulit tidur, suaramu buatku lelap",Naratif
51,"Kita tak pernah tahu berapa lama kita diberi waktu, Jika aku pergi lebih dulu, jangan lupakan aku",Naratif
52,"Kucari tau tentangmu, tanggal dan tahun lahirmu, Kupelajari rasi bintang menebak pribadimu",Naratif
53,"Tokoh kartun favoritmu dan warna kegemaranmu, Kutelusuri di titik mana kita kan bertemu",Naratif
54,"Bius aku dengan tatapanmu, Menyiksaku tapi sungguh candu sungguh candu",Naratif
55,"Lika liku labirinmu, takkan urungkan niatku betapa kuyakin kita berdua bisa menyatu",Naratif
56,"Jebak aku dalam labirinmu labirinmu, Tersesatku di adiwarnamu pesonamu",Naratif
57,"Tubuh saling bersandar ke arah mata angin berbeda, Kau menunggu datangnya malam saat ku menanti fajar",Naratif
58,"Sudah coba berbagai cara agar kita tetap bersama, Yang tersisa dari kisah ini hanya kau takut ku hilang",Naratif
59,"Perdebatan apapun menuju kata pisah, jangan pasksakan genggamanmu",Naratif
60,"izinkan aku pergi dulu, Yang berubah hanya tak lagi ku milikmu, kau masih bisa melihatku, Kau harus percaya ku tetap teman baikmu",Naratif
61,"Seberapa pantaskah kau untuk ku tunggu, Cukup indahkah dirimu untuk selalu ku nantikan",Naratif
62,"Mampukan kau hadir dalam setiap mimpi burukku, Mampukah kita bertahan di saat kita jauh",Naratif
63,cekalanya Hanya kaulah yang benar-benar aku tunggu,Naratif
64,Mungkin kini kau t'lah menghilang tanpa jejak mengubur semua indah kenangan,Naratif
65,Tapi aku slalu menunggumu di sini bila saja kau berubah pikiran,Naratif
66,Langit dan laut saling membantu mencipta awan hujan pun turun,Naratif
67,Ketika dunia saling membantu lihat cintai mana yang tak jadi satu,Naratif
68,"Kau memang manusia sedikit kata, bolehkah aku yang berbicara",Naratif
69,"Kau memang manusia tak kasat rasa, biar aku yang mengemban cinta",Naratif
70,Awan dan alam saling bersentuh mencipta hangat kau pun tersenyum,Naratif
71,Ketika itu kulihat syahdu lihat hati mana yang tak akan jatuh,Naratif
72,Akhirnya aku lihat lagi sederhana tanpa banyak celah wangimu,Naratif
73,"Tak ada yang seindah matamu, hanya rembulan, Tak ada yang selembut sikapmu, hanya lautan",Naratif
74,Tak tergantikan walau kita tak lagi saling menyapa,Naratif
75,Masih banyak yang belum sempat aku katakan padamu,Naratif
76,"Pagi tadi aku masih menangis, ada rasa yang tak kunjung mati",Naratif
77,"Ada rasa yang tak kunjung mati, menahan semua rasa malu",Naratif
78,Sempat ku berpikir masih bermimpi 24/7 tanpa henti,Naratif
79,Matahari dan bulan saksinya ada rasa yang tak mau hilang,Naratif
80,Aku takut sepi tapi yang lain tak berarti,Naratif
81,Katanya mimpiku akan terwujud mereka lupa tentang mimpi buruk,Naratif
82,"Sudah kuucap semua pinta, sebelum ku memejamkan mata",Naratif
83,"Sempat ku berpikir masih bermimpi, bertahun berlanjut tanpa henti",Naratif
84,"Kulitmu yang memudar saksinya, tetap rasaku tak pernah hilang",Naratif
85,Banyak yang tak ku ahli begitu pula menyambutmu pergi,Naratif
86,Kita pernah berhujan berdua mungkin kau masih ingat dinginnya,Naratif
87,"Menusuk tulang mengkerutkan jari, tapi lebih dingin dari merindumu",Naratif
88,"Kita pernah bernyanyi berdua, lagu yang hanya untukmu saja",Naratif
89,"Walau telah usang ditelan hari, ku nyanyikan lagi karena merindumu",Naratif
90,"Berkali sudah ku bunuh, berkali itu pula ia hidup dan meratah otakku meminum akalku",Naratif
91,"Keringlah mata saat bersama, basah lagi ia karena merindumu",Naratif
92,Kita pernah berdua terluka atau hanya aku yang berdarah,Naratif
93,Melihat ada bagai tiada robek lagi luka saat merindumu,Naratif
94,"Pagi itu mentari berdiri malu-malu, burung-burungpun berkicau tak merdu, terpesonamu",Naratif
95,"Siang itu mawar-mawar sepakat melayu, wajah langitpun seakan tak biru, tergilaimu",Naratif
96,"Sore ini rembulan cemas tunggui, hanya cahayamu tak abadi",Naratif
97,"Ku tatapmu oh begeletar tubuhku, kau aksara di lisanku",Naratif
98,Malam ini sudikah kau jadi bunga di tidurku,Naratif
99,Biar gelap tertunduk cemburu sampai jangkrik bisu,Naratif
100,Untuk matamu yang basah tak berhenti untuk tawa yang datang sesekali ,Naratif
101,Di titik gelap dan terang yang berganti gemuruh angin berbagai penjuru,Naratif
102,Masihkah kau mengingat di saat kita masih 17? Waktu di mana tanggal-tanggal merah terasa sungguh meriah,Naratif
103,"Masihkah kau ingat cobaan terberat kita, Matematika? ",Naratif
104,Masihkah engkau ingat lagu di radio yang merdu mengudara?,Naratif
105,Kita masih sebebas itu Rasa takut yang tak pernah mengganggu,Naratif
106,Batas naluri bahaya Dulu tingginya lebihi logika,Naratif
107,"Putaran Bumi dan waktu yang terus berjalan menempa kita, Walau kini kita terpisah, namun, jiwaku tetap di sana",Naratif
108,"Sederas apa pun arus di hidupmu, Genggam terus kenangan tentang kita",Naratif
109,"Seberapa pun dewasa mengujimu, Takkan lebih dari yang engkau bisa",Naratif
110,"Patah tak terurai lepaskan ikhlaskan, tak usah jadikan runyam",Naratif
111,"Terpuruk bukanlah pilihan alasan, kembali tersenyum mari berdendang",Naratif
112,"Memburu tak perlu menggebu menderu, materi tak selalu jadi solusi",Naratif
113,"Peluk orang terkasih pelipur resah dari beban berat diri, kembali terobati membasuh rasa bendi merajut harmoni",Naratif
114,"Kembali merekah memapah yang resah, kelesah berlalu elok mendayu",Naratif
115,Coba bicara mungkin letih akan tiiba bersajak berombak keringkan luka yang kelam,Naratif
116,izinkan ku melompat ke dalam ingar bingar dunia fana,Naratif
117,yang tak terelakkan sepi tak bertuan,Naratif
118,saturnusku terjunkan aku ke bumi berikan jalan bebaskan aku terjebak,Naratif
119,mengkaji berahi yang hanya terdiam di kotak kecil tak bernyawa,Naratif
120,napas pun tak terasa seolah olah belajar untuk mencaci diri,Naratif
121,Berdiam di dalam rumah ini denganmu dari malam hingga malam lagi,Naratif
122,Terkungkung langkah ragu tak ke mana-mana dari rabu hingga rabu lagi,Naratif
123,Semakin banyak waktu untuk bicara Semakin kupaham harapmu apa,Naratif
124,Semakin banyak waktu untuk bersama besyukurku kau utuh jiwa raga,Naratif
125,"bila ini belum kan reda, tetap kita saling menjaga",Naratif
126,hari depan tak ada yang tahu,Naratif
127,"hadirmu sangat berharga ku ingin engkau tahu, aku sayang kamu",Naratif
128,Kita di bawah atap lindungan yang sama menunggu tenangnya langit pagi,Naratif
129,Sadari indah kerut wajahmu yang baru tenteram setia mengawalmu,Naratif
130,"Aku tahu, kamu lahir dari cantik utuh cahaya rembulan",Naratif
131,Sedang aku dari badai marah riuh yang berisik juga banyak hal-hal yang sedih,Naratif
132,"Tapi menurut aku, kamu cemerlang Mampu melahirkan bintang-bintang",Naratif
133,"Menurutku, ini juga karena hebatnya badaimu juga karena lembutnya tuturmu",Naratif
134,"untuk petualangan ini mari kita ketuk pintu yang sama, membawa amin paling serius seluruh dunia",Naratif
135,Bayangkan betapa cantik dan lucunya gemuruh petir ini disanding rintik-rintik yang gemas dan merayakan,Naratif
136,"Aku tahu, kamu tumbuh dari keras kasar sebuah kerutan",Naratif
137,"Sedang aku dari pilu, aman yang ternyata palsu Juga semua yang terlalu baik",Naratif
138,"Menurutku, ini juga karena lembutnya sikapmu juga sabarmu yang nomor satu",Naratif
139,Setiap lisan-Nya mengandung tresna bagai mantra berwujud asih,Naratif
140,Telapak jiwa-Nya bijaksana Semua yang ranum diubah-Nya baik,Naratif
141,Mendayung menjauh angkara renta Berlabuh tresnaku pada legawa,Naratif
142,Berpijak-pijakku pada atma Saling mendoa-doa sentosa,Naratif
143,"Ratusan hari ku mengenalmu, Ratusan alasan kamu berharga, Ratusan alasan kamu cahaya",Naratif
144,Semampuku kau akrab dengan senyum dan tawa dan  tak lagi perlu kau takut cinta,Naratif
145,Bila aku pegang kendali penuh pada cahaya Aku pastikan jalanmu terang,Naratif
146,Tak mudah lagi sendu mengganggu Kau tahu cara buatku tertawa,Naratif
147,Tak mudah kusut dalam kemelut Kau tahu cara mengurai semua,Naratif
148,"Kita berlari dan teruskan bernyanyi, Kita buka lebar pelukan mentari, Bila ku terjatuh nanti kau siap mengangkat aku lebih tinggi",Naratif
149,"Seperti pedih yang telah kita bagi, Layaknya luka yang telah terobati, Bila kita jatuh nanti kita siap tuk melompat lebih tinggi",Naratif
150,"Bersama kita bagai hutan dan hujan, Aku ada karna engkau telah tercipta",Naratif
151,"Kupetik bintang untuk kau simpan, Cahayanya tenang berikan kau perlindungan",Naratif
152,Sebagai pengingat teman Juga sbagai jawaban semua tantangan,Naratif
153,"Sebelum waktu memisahkan detikku detikmu, Sebelum dewasa menua memisahkan kita, Degupan jantung kita akan slalu seirama",Naratif
154,"Jabat tanganku mungkin untuk yang terakhir kali, Kita berbincang tentang memori di masa itu",Naratif
155,"Peluk tubuhku usapkan juga air mataku, Kita terharu seakan tidak bertemu lagi",Naratif
156,"Bersenang-senanglah Karna hari ini yang kan kita rindukan, Di hari nanti sebuah kisah klasik untuk masa depan",Naratif
157,"Sampai jumpa kawanku, semoga kita selalu Menjadi sebuah kisah klasik untuk masa depan",Naratif
158,Di sini (hawanya) sedikit panas. Bolehkah saya membuka jendela?,Interaktif
159,Berapa blok dari sini?,Interaktif
160,Hanya mandi (air pancuran saja) tidaklah mengapa.,Interaktif
161,"Di saat kita bersama, Di waktu kita tertawa, menangis, merenung oleh cinta",Naratif
162,Tidak Apakah saya dapat menyarankan dua (tempat tidur) daripada satu (tempat tidur)? Kami punya satu (kamar dengan dua tempat tidur).,Interaktif
163,"Kau coba hapuskan rasa, Rasa di mana kau melayang jauh dari jiwaku juga mimpiku",Naratif
164,"Saya tidak bisa menjamin, tapi kami akan mencoba yang terbaik.",Interaktif
165,"Tolong, saya mau rambut keriting permanen ketat.",Interaktif
166,Laut terlihat jauh di bawah.,Interaktif
167,biarlah Hariku dan harimu Terbelenggu satu Oleh ucapan manismu,Naratif
168,"Dan kau bisikkan kata cinta Kau t'lah percikkan rasa sayang, Pastikan kita seirama Walau terikat rasa hina",Naratif
169,"Betapa bahagianya hatiku Saat ku duduk berdua denganmu Berjalan bersamamu, menarilah denganku",Naratif
170,"Namun, bila hari ini adalah yang terakhir aku tetap bahagia, selalu ku syukuri, begitulah adanya",Naratif
171,"Namun, bila kau ingin sendiri cepatlah sampaikan kepadaku agar ku tak berharap dan membuatmu bersedih",Naratif
172,Bila nanti saatnya t'lah tiba Ku ingin kau menjadi istriku,Naratif
173,"Berjalan bersamamu dalam terik dan hujan, Berlarian ke sana, kemari, dan tertawa",Naratif
174,"Terkadang hidup menggariskan misteri Yang takkan pernah bisa aku pahami, Seperti aku yang tak pernah berhenti Mencari celah menaklukkan hati",Naratif
175,"Mereka bilang, ""Cobalah kau sadari, Misteri ini harusnya disudahi"" Aku mencoba sederhanakan ini Agar semua orang memahami",Naratif
176,"Sama seperti di film favoritmu Semua cara akan kucoba, Walau peran yang aku mainkan Bukan pemeran utamanya",Naratif
177,"Karena mereka tak ikut merasakan Indahnya hidup jatuh hati padamu, Sekali lagi aku 'kan menjelaskan Berhenti bukan pilihan bagiku",Naratif
178,Saya takut saya akan perlu untuk melihat beberapa bentuk identifikasi.,Naratif
179,"Aku langit dan hujannya, angin ribut dan petirnya, Besar kuat, mematikan, lemah lembut, menghidupkan",Naratif
180,Tentu saja. Apakah Anda ingin kopi bersama dengan makan malam Anda atau nanti saja?,Interaktif
181,Saya mengambil penerbangan nomor dua belas ke Tokyo.,Interaktif
182,"Kunyanyikan semuanya, bertelanjang dengan luka, Kau 'kan menjadi saksinya, lihat aku yang menganga",Naratif
183,"Sebuah buku yang terbuka Mudah kau tau apa ceritanya, Siapa tau yang t'lah kau baca Kau aminkan kar'na kau tau juga",Naratif
184,"Tertawalah semoga semesta mendengar kita, Belajar menelan apa pun aman yang ada",Naratif
185,"Bila ini kesempatan kamu, Remedi yang mungkin tak terulang, Kesempatan 'tuk terang hidupmu, Aku tak akan menghalangimu",Naratif
186,"Aku rasakan Yakinmu dilawan ragu, Tapi sampai kapan Tapi sampai kapan",Naratif
187,"Bila pergi itu solusi? untuk kejar mimpimu, Kejar perlumu, kejar maumu",Naratif
188,"Pasti sedih menghalang legaku, Melepasmu berawan pandangku",Naratif
189,Sendu mengingat pipi merahmu Dan semua baik manis kenangmu,Naratif
190,"Kita jaga tak terputus kata, Segala mungkin lagi bersama, Bila sudah begitu jalannya semoga sedih ini sementara",Naratif
191,"Sedalam samudera telah aku selami, Setinggi langit diangkasa tlah kuarungi, Sepanjang kehidupanku aku mencari, Sebentuk kelembutan hati cinta sejati",Naratif
192,Saya baik-baik saja. Tapi maukah Anda menelepon teman saya?,Naratif
193,kini usai sudah segala penantian panjangku Setelah temukan dirimu duhai kekasihku,Naratif
194,"Hanya dihatimu akan kulabuhkan hidupku, karena kaulah cinta terakhirku",Naratif
195,"Berjuta kejora terangi gelap malamku, Tetap tak seindah cahaya mata hatimu",Naratif
196,"Kar'na kamu, aku rela menunggu semua sungguh berat yang ku rasa, aku tetap bertahan meskipun kini engkau dipeluknya",Naratif
197,"Masih mungkinkah semua abadi seperti dahulu, selalu karenamu ku cemburu",Naratif
198,"Teruslah melangkah melupakan dirinya, Tinggalkan dia untukku sekarang",Naratif
199,Saatnya tunjukkan semua tentang hatimu Bahwa akulah yang pantas untukmu,Naratif
200,"Aku tahu engkau sangat dipuja mereka bagai bintang yang bersinar, aku tahu ini semua jalanmu tapi ku akan tetap menunggumu",Naratif
201,"Jangan tinggalkan semua sendiri seperti dahulu, selalu karenamu ku cemburu",Naratif
202,"Kita adalah dua insan penuh cinta, Di awal tercipta kisah kita, Manis tuturmu buatku terpana, bagiku kau sempurna",Naratif
203,"Memang benar semua kata mereka, Benarku tlah dibutakan cinta",Naratif
204,"Tak hanya sekali kau khianati, sudah cukup ku tak tahan lagi",Naratif
205,Mati-matian ku membelamu di depan mereka Walau sakit tetap ku percaya kau beda dari lainnya,Naratif
206,"Habis-habisan ku dibohongi sayang ini tetap sama, Tuhan ini cinta atau bodoh",Naratif
207,"Habis fikir dengan sifatmu itu, berulangkali ku maafkan berulang lagi kau lakukan, satu-satunya kebanggaanku kini jadi rasa sakit terdalam",Naratif
208,"Dalam mimpiku, aku bermimpi tentang kekasih itu dirimu, tambatan hati yang telah pergi hanya dirimu lak ada lagi",Naratif
209,"hanya wajahmu Yang terukir di dalam hatiku, abadi dan takkan pernah terganti, hanya kaulah cinta dalam hidupku",Naratif
210,"Meskipun langit telah memisahkan cinta kita aku akan selalu untukmu, cintamu akan selalu bersemi dihidupku",Naratif
211,Upaya tersebut memang cukup menguntungkan bagi sekolah,Deskriptif
212,Dari setiap Rp1 juta sekolah bisa menyimpan Rp15.000,Deskriptif
213,"Karena kekurangpahaman sekolah, pembayaran pajak yang dilakukan sekolah berbeda-beda",Argumentatif
214,"Akibatnya, perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antar daerah",Argumentatif
215,"Namun, tidak semua pelaksana BOS mengetahui tentang aturan ini karena tidak disosialisasikan dengan baik",Argumentatif
216,Hal ini terjadi karena hampir semua sekolah belum mengetahui aturan dan tata cara pembayaran pajak,Argumentatif
217,Laporan yang dibuat sekolah dikirim ke satker kabupaten/kota,Deskriptif
218,"Di samping itu, sekolah juga dapat menghemat waktu, tenaga, dan biaya transportasi penyetoran pajak",Argumentatif
219,Hal-hal yang harus dilaporkan oleh pelaksana di tiap tingkatan adalah sebagai berikut,Deskriptif
220,"Di samping itu, banyak juga sekolah yang berupaya menghindari pembayaran pajak dengan menyiasati nilai atau kuitansi pembayaran",Argumentatif
221,"Akhirnya, satker provinsi menyampaikan laporan ke Satker Pusat",Deskriptif
222,Namun bentuk laporan yang diperoleh dari lembaga penyalur bervariasi antarprovinsi,Deskriptif
223,"Laporan penanganan dan pengaduan masyarakat, serta laporan monitoring dan evaluasi akan didiskusikan di sub-bab 2.6",Deskriptif
224,Subbab ini hanya membahas laporan penggunaan/pemanfaatan dana BOS,Deskriptif
225,"Selanjutnya, satker kabupaten/kota membuat laporan pelaksanaan program untuk diserahkan ke satker provinsi",Deskriptif
226,"Berkaitan dengan laporan penggunaan dana BOS, sekolah menyerahkan laporan ke satker kabupaten/kota",Deskriptif
227,Satker kabupaten/kota seharusnya mengirimkan laporan-laporan ke satker provinsi,Argumentatif
228,"Alur pelaporan di daerah-daerah sampel kajian ini agak bervariasi, dan secara umum disajikan di Gambar 2.4",Deskriptif
229,Selanjutnya satker provinsi menyusun laporan pelaksanaan program untuk dikirimkan ke Satker Pusat,Deskriptif
230,"Di Provinsi Banten, selain UPTD, kantor pos kecamatan juga dapat berfungsi sebagai perantara penyampaian laporan tersebut",Deskriptif
231,"Kanwil Depag juga menyusun laporan untuk diserahkan ke Departemen Agama, dan salinannya diserahkan ke satker provinsi",Deskriptif
232,Dengan adanya contohcontoh tersebut diharapkan sekolah tidak mengalami kesulitan dalam menyusun laporan,Deskriptif
233,"Untuk mempermudah sekolah membuat laporan, di dalam juklak tersedia contoh-contoh format laporan",Deskriptif
234,"Laporan tersebut harus dilengkapi RAPBS, fotokopi rekening, laporan buku kas, serta bukti-bukti pengeluaran yang sah",Deskriptif
235,Pembayaran tunjangan guru tetap diubah menjadi pembelian ATK,Deskriptif
236,"Oleh karena itu, di Jawa Timur misalnya, laporan dalam bentuk SPJ harus dibuat setiap bulan",Deskriptif
237,"Di Jawa Timur, NTB, dan Banten, satker provinsi menetapkan bahwa sekolah harus membuat laporan triwulanan",Deskriptif
238,Beberapa sekolah mengambil inisiatif meminta satker kabupaten/kota untuk mengadakan pelatihan pembuatan laporan,Argumentatif
239,"Di daerah lain, satker kabupaten/kota menyatakan bahwa konsultasi dapat dilakukan kapan saja",Argumentatif
240,Kebijakan tentang waktu penyusunan laporan ini terkait dengan keterlambatan pengucuran dana di kedua provinsi tersebut,Deskriptif
241,"Selain itu, satker kota setempat juga menyediakan waktu konsultasi bagi sekolah antara pukul 12.00-17.00",Deskriptif
242,"Di Jawa Timur, Dinas Pendidikan Kota Pasuruan mengadakan pelatihan pembuatan SPJ yang dilaksanakan selama tiga hari",Deskriptif
243,"Untuk melakukan konsultasi penyusunan laporan tersebut sekolah harus mengeluarkan biaya, paling tidak untuk transportasi",Argumentatif
244,Namun ada sekolah yang laporannya hanya dibuat oleh kepala sekolah tanpa melibatkan bendahara,Argumentatif
245,"Di samping itu, sekolah juga mengeluhkan banyaknya waktu yang diperlukan untuk menyusun laporan tersebut",Argumentatif
246,"Salah satu salafiyah di Banten, misalnya, memerlukan biaya transportasi antara Rp50.000-Rp100.000 setiap melakukan konsultasi",Deskriptif
247,"Untuk itu, mereka seringkali kehilangan waktu istirahat karena harus kerja lembur atau terpaksa menggunakan waktu mengajar",Deskriptif
248,"Komite sekolah yang seharusnya menjadi mitra sekolah pun umumnya tidak dilibatkan dalam pembuatan laporan,",Deskriptif
249,"Hanya ada beberapa komite sekolah yang dapat mengakses laporan tersebut, namun jumlahnya sangat terbatas",Deskriptif
250,Mereka biasanya komite sekolah yang memang aktif berkunjung ke sekolah,Deskriptif
251,"Bila ada guru yang dilibatkan, biasanya hanya guru yang bertugas menjadi bendahara BOS, sedangkan guru lainnya tidak dilibatkan",Deskriptif
252,Mereka cenderung percaya bahwa sekolah menggunakan dananya dengan benar,Deskriptif
253,"Kepada orangtua siswa, umumnya pihak sekolah hanya menyampaikan informasi mengenai adanya Program BOS",Deskriptif
254,Masih jarang ditemui adanya sekolah yang melaporkan penggunaan dananya secara rinci kepada orangtua siswa,Deskriptif
255,Monev internal dilakukan oleh jajaran pelaksana program sendiri,Deskriptif
256,Orangtua siswa terkesan tidak peduli dengan urusan administrasi penggunaan dana,Deskriptif
257,"Monitoring eksternal, dalam juklak program 2005, dianggap sebagai bagian dari pengawasan",Deskriptif
258,"dewan pendidikan, LSM, BMPS, maupun organisasi masyarakat/kependidikan lainnya; 3",Deskriptif
259,Tim SMERU hanya menemukan dua sekolah sampel yang menyampaikan laporan secara terbuka kepada orangtua siswa,Deskriptif
260,"perguruan tinggi, DPR, BIN atau tim independen khusus yang ditunjuk pemerintah; 2",Deskriptif
261,"Monev internal ini bertugas melakukan pemantauan dan supervisi, pembinaan, dan penyelesaian masalah",Deskriptif
262,Belum semua daerah melaksanakan kegiatan monev internal secara khusus,Deskriptif
263,"Unit-unit pengaduan masyarakat yang terdapat di sekolah/madrasah, kabupaten/kota, provinsi dan pusat",Deskriptif
264,Kualitas pelaksanaan monev internal masih dipertanyakan dan lebih terkesan dilaksanakan sebagai formalitas,Deskriptif
265,Monitoring dilakukan melalui UPTD dan melibatkan pengawas,Deskriptif
266,"Di Kabupaten Tapanuli Utara, kuesioner disebarkan ke semua sekolah melalui UPTD Pendidikan",Deskriptif
267,"Monev internal masih kurang memadai, sedangkan monev eksternal dinilai oleh banyak pihak masih kurang efektif",Argumentatif
268,Di Kota Pasuruan kegiatan monev agak lebih mendalam,Deskriptif
269,Meskipun di beberapa daerah kerja sama kegiatan monev antara staf dinas pendidikan dan Kandepag berjalan baik,Deskriptif
270,"Karena berbagai faktor tersebut, secara umum kegiatan monev internal dianggap kurang memadai",Argumentatif
271,"Cukup banyak lembaga yang secara langsung mendatangi sekolah-sekolah tanpa sepengetahuan satker, tidak jelas laporannya",Deskriptif
272,Hal ini melahirkan kecemburuan dan rumor tentang ketidaktransparanan jajaran Kandepag dalam pengelolaan dana monev,Argumentatif
273,"Secara langsung BPKP melakukan audit dengan difasilitasi oleh satker provinsi, satker kabupaten/kota",Argumentatif
274,hasil pengawasannya juga tidak diberitahukan atau dilaporkan ke satker di tingkat manapun juga,Argumentatif
275,Isu ini umumnya bersumber dari masyarakat dan guru,Argumentatif
276,Hanya di Mapenda Kanwil Depag Provinsi Jawa Timur ada dokumen laporan pengaduan,Deskriptif
277,"Secara umum, proses penyampaian dan penanganan pengaduan dapat dibedakan menjadi tiga kelompok, yaitu",Deskriptif
278,Di banyak sekolah juga tidak terlihat adanya kotak aduan,Deskriptif
279,Siapakah yang berwenang untuk melakukan investigasi bila pengaduan tersebut terkait dengan kinerja pelaksana program,Argumentatif
280,Namun berbagai fakta yang ditemukan di lapangan memperlihatkan kurang efisiennya sistem monitoring eksternal yang sudah berjalan,Argumentatif
281,"Meski reaksinya cepat dan langsung, pengaduan dan proses penyelesaian semacam ini tidak didokumentasikan dengan baik",Deskriptif
282,Namun dalam kajian ini tidak ditemukan adanya catatan dan dokumentasi pengaduan yang pernah dikumpulkan sekolah-sekolah sampel,Deskriptif
283,"Melalui siaran pers, keberadaan unit ini diumumkan ke masyarakat, lengkap dengan nomor telepon yang dapat diakses",Deskriptif
